feature,mean_importance
NC25,-4.772000554866818e-05
TVOCppb,-4.444532098420925e-05
NC10,-2.1421509559881034e-06
PM25,1.1285694171404154e-05
UTCsecond,5.682141775480987e-05
RawEthanol,0.0002866959801261719
PM10,0.0003360831504846222
NC05,0.0008811419064250099
UTCminute,0.0020465442090333414
Humidity,0.003890059009958883
TemperatureC,0.00627235576486306
PressurehPa,0.011213951112302997
UTCweekofyear,0.011900026466024838
RawH2,0.017582108027583112
UTCday,0.01979438419251048
UTCday_of_year,0.0197943841925105
eCO2ppm,0.025050283255184463
UTCday_part,0.09554991281628697
UTChour,0.23716334620212645
UTCday_of_week,0.4395463031310684
CNT,2.635595353989861
