feature,mean_importance
NC05,-0.00020579885209588586
NC25,-5.49050080823205e-05
NC10,-6.573113039854989e-06
UTCsecond,-6.0834678069996045e-06
UTCminute,-4.417519510905091e-06
UTChour,0.0
UTCweekofyear,0.0
UTCday_of_year,0.0
UTCday,0.0
PM25,6.174448595376407e-07
RawH2,7.806833860957264e-05
UTCday_part,8.978061456786021e-05
TVOCppb,0.0001398455464842207
RawEthanol,0.00027983038041685325
eCO2ppm,0.0004928342480159762
Humidity,0.0007096482111229566
TemperatureC,0.0015444242667004722
PM10,0.0027301624799450685
PressurehPa,0.03986154301426172
UTCday_of_week,0.0484992080477083
CNT,1.7272334742857278
