feature,mean_importance
NC10,0.000889786042146674
UTCsecond,0.0011153885820192357
UTCday,0.002123457489592796
UTCday_of_year,0.0023394310248869175
eCO2ppm,0.002706411229242349
UTCweekofyear,0.00323580514322816
UTCminute,0.003678263182632218
NC25,0.00386205250983181
NC05,0.00594384135960752
PM25,0.006846534135917869
PM10,0.009398058681969185
TVOCppb,0.01932273567482882
PressurehPa,0.02113149503119329
Humidity,0.03284480042431136
UTCday_part,0.05216765578826373
RawH2,0.08786347437509384
UTCday_of_week,0.11588286091829736
UTChour,0.12214325420150726
TemperatureC,0.16343893759400366
RawEthanol,0.19240414566603986
CNT,3.076694221293634
