feature,mean_importance
RawEthanol,0.0
UTCday_of_year,0.0
PM25,0.0
UTCsecond,0.0
NC25,0.0
UTCday_part,6.938893903907229e-19
UTCminute,6.938893903907229e-19
TVOCppb,6.938893903907229e-19
eCO2ppm,6.938893903907229e-19
UTChour,6.938893903907229e-19
UTCweekofyear,6.938893903907229e-19
UTCday,6.938893903907229e-19
TemperatureC,1.3877787807814458e-18
PM10,1.3877787807814458e-18
NC10,1.3877787807814458e-18
Humidity,0.0013214442666497337
NC05,0.005106025861312441
UTCday_of_week,0.01479251769698996
RawH2,0.02278857241666449
PressurehPa,0.11408576762114313
CNT,3.7016475113246443
