UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
1655127087,17.511,49,162,438,12773,20557,937.384,1.55,1.61,10.68,1.665,0.038,2779,0
1655126779,3.621,48.39,162,438,12773,20551,937.338,2.06,2.14,14.15,2.206,0.05,2471,0
1654735416,21.796,47.45,14,400,13156,20046,939.627,0.84,0.87,5.78,0.901,0.02,2085,0
1654741508,-4.361,50.28,337,400,13093,19925,939.387,0.23,0.24,1.61,0.251,0.006,8177,1
1654785855,25.38,48.42,1419,444,12972,19370,938.788,2.02,2.1,13.9,2.167,0.049,24512,1
1654738206,-7.755,49.4,18,400,13255,20195,939.699,2.44,2.54,16.82,2.623,0.059,4875,1
1655129569,-21.556,11.3,60000,4899,11673,17164,936.75,632.22,787.48,4023.14,834.758,142.119,5261,0
1655125986,-4.535,45.02,86,408,12778,20639,937.39,1.86,1.93,12.8,1.997,0.045,1678,0
1654776413,26.71,48.6,1074,431,12875,19452,938.818,1.94,2.02,13.36,2.084,0.047,15070,1
1655126893,9.106,47.77,161,429,12777,20563,937.316,1.5,1.56,10.36,1.615,0.036,2585,0
1654712933,28.43,44,61,425,12789,20707,937.538,2.1,2.18,14.44,2.252,0.051,746,0
1654751715,19.693,47.54,1247,411,12910,19414,938.706,2.03,2.1,13.94,2.174,0.049,18384,1
1654764427,21.29,45.69,145,400,13169,20027,939.677,0.95,0.99,6.53,1.018,0.023,3084,0
1654765620,22.24,48.3,101,400,13233,20113,939.649,1.8,1.87,12.36,1.927,0.044,4277,1
1655125578,-9.274,46.86,74,400,12788,20664,937.458,2.07,2.15,14.24,2.221,0.05,1270,0
1654769172,20.8,50.44,291,400,13114,19966,939.428,0.46,0.48,3.15,0.491,0.011,7829,1
1654735692,19.059,53.65,13,400,13215,20149,939.579,1.22,1.27,8.4,1.311,0.03,2361,0
1654748797,12.18,52.73,1140,431,12871,19439,938.822,2.03,2.11,13.98,2.18,0.049,15466,1
1655128334,16.235,58.93,2250,400,13382,20044,936.975,0.69,0.71,4.73,0.737,0.017,4026,0
1654713798,29,40.95,83,400,12788,20635,937.446,1.93,2,13.27,2.069,0.047,1611,0
1655125826,-6.659,47.55,122,405,12774,20593,937.409,1.73,1.8,11.9,1.856,0.042,1518,0
1655126901,9.495,48.52,170,436,12772,20553,937.33,1.74,1.8,11.94,1.862,0.042,2593,0
